iter	Logloss
0	0.6690058633
1	0.6498868428
2	0.6286672302
3	0.6091501664
4	0.5904970753
5	0.5724760648
6	0.558900725
7	0.5450386514
8	0.5301005046
9	0.5160355687
10	0.5050379608
11	0.4932201152
12	0.4841788156
13	0.4726884284
14	0.4630976394
15	0.4540185215
16	0.4441618627
17	0.4366538465
18	0.4292215706
19	0.4213517031
20	0.4140836755
21	0.4089229523
22	0.4014570102
23	0.3953051924
24	0.3911327267
25	0.3871226408
26	0.3819314001
27	0.3774701246
28	0.3726544369
29	0.3694824772
30	0.3641486481
31	0.3598155327
32	0.3569257049
33	0.353028278
34	0.3487760583
35	0.3449771734
36	0.3409636275
37	0.3373517925
38	0.3339951703
39	0.3307415882
40	0.3276468221
41	0.3232940535
42	0.3210182795
43	0.3186751385
44	0.3149856256
45	0.3120114419
46	0.3090988471
47	0.3066909686
48	0.3035627439
49	0.3010912698
50	0.2986506594
51	0.2967642786
52	0.2947903242
53	0.2923198882
54	0.2898450925
55	0.2878657058
56	0.2862729269
57	0.2836711996
58	0.2822473401
59	0.2805290828
60	0.2775290872
61	0.2755861174
62	0.2741219311
63	0.2729156909
64	0.2716837427
65	0.2694026575
66	0.2678439947
67	0.2661888832
68	0.2643182975
69	0.2624244084
70	0.2612088954
71	0.2600850216
72	0.2586830987
73	0.2568513693
74	0.2555046514
75	0.2544788179
76	0.2532519905
77	0.2518260722
78	0.250584851
79	0.2488545701
80	0.2471549278
81	0.2451967339
82	0.2434929742
83	0.242609729
84	0.2406407916
85	0.2390465942
86	0.2374578117
87	0.2361866784
88	0.2343394308
89	0.2330125735
90	0.2318587703
91	0.2308731944
92	0.2297926576
93	0.2281413868
94	0.2273988097
95	0.2267022511
96	0.2252465592
97	0.2240024143
98	0.2229058748
99	0.221845908
100	0.220398226
101	0.2194029274
102	0.2182994159
103	0.2173891478
104	0.216184482
105	0.2151618317
106	0.213764874
107	0.2131574981
108	0.2118113511
109	0.2100863814
110	0.2091329838
111	0.2076961491
112	0.2070669576
113	0.206137815
114	0.2047378298
115	0.2036080912
116	0.2027137739
117	0.2015689841
118	0.2000914593
119	0.1990340875
120	0.1979868536
121	0.1972594488
122	0.1964087108
123	0.1959576077
124	0.1946327054
125	0.1938473794
126	0.1926629376
127	0.1914898273
128	0.1906069109
129	0.1898408401
130	0.188940312
131	0.1878440148
132	0.1867181687
133	0.1859430845
134	0.1851602152
135	0.184212423
136	0.1836711512
137	0.1829719111
138	0.1820541866
139	0.1810078524
140	0.1803038374
141	0.1793525679
142	0.1786494871
143	0.177961942
144	0.1770899247
145	0.176459626
146	0.1756876039
147	0.1748651344
148	0.1736937023
149	0.1726968986
150	0.1720516006
151	0.1710800205
152	0.1703764208
153	0.1697005534
154	0.168757709
155	0.16785834
156	0.166965476
157	0.1661189419
158	0.1650643035
159	0.164112809
160	0.1636735912
161	0.1628049128
162	0.1622542643
163	0.1616070114
164	0.1611166541
165	0.160199414
166	0.1592904781
167	0.1585793009
168	0.1580298634
169	0.1577563989
170	0.1573604143
171	0.1565653483
172	0.155971034
173	0.1553808718
174	0.1547760217
175	0.1542947125
176	0.1534885744
177	0.152939604
178	0.1521171172
179	0.151454865
180	0.151028778
181	0.1504351558
182	0.1497849964
183	0.1494213632
184	0.1487778298
185	0.1483923464
186	0.1478471475
187	0.1472698393
188	0.1466017743
189	0.1458605812
190	0.1451338684
191	0.1445966794
192	0.1442194136
193	0.1435962599
194	0.1430928237
195	0.1425149792
196	0.1418795164
197	0.1412079826
198	0.1409167854
199	0.1402471028
200	0.1397539688
201	0.1389541453
202	0.1381229911
203	0.1375169732
204	0.136835561
205	0.1360050297
206	0.1353765129
207	0.1349495263
208	0.1344725334
209	0.13398606
210	0.1333626987
211	0.1327804254
212	0.1323107592
213	0.1318970851
214	0.1313335652
215	0.1308607417
216	0.1303939473
217	0.1299083217
218	0.1290599884
219	0.1285893533
220	0.1279724017
221	0.1272985065
222	0.1267537573
223	0.1261769163
224	0.125497459
225	0.1248954029
226	0.1239005368
227	0.1233196475
228	0.1225393473
229	0.1220162061
230	0.1217557773
231	0.1213468002
232	0.1209193984
233	0.1204680099
234	0.1200256694
235	0.1196382657
236	0.1193340673
237	0.119084209
238	0.1187601846
239	0.1182343446
240	0.1179028812
241	0.1172539501
242	0.1165349359
243	0.1161418577
244	0.1156612318
245	0.1154313379
246	0.1150248694
247	0.1141448767
248	0.1138122541
249	0.1131703729
250	0.1127514309
251	0.1124014995
252	0.1121225854
253	0.1116704357
254	0.1110987674
255	0.1105021868
256	0.1100318199
257	0.1096684635
258	0.1093646026
259	0.1090163147
260	0.1087290273
261	0.108302058
262	0.1079458379
263	0.1074548925
264	0.1069332477
265	0.1064201753
266	0.1061473682
267	0.105637626
268	0.1053594818
269	0.1048458904
270	0.1045305594
271	0.1041509754
272	0.1037126917
273	0.1030720648
274	0.1026026408
275	0.1019266695
276	0.1013559008
277	0.1007351778
278	0.100269975
279	0.1000057921
280	0.09940980838
281	0.09913556538
282	0.09887404669
283	0.09843973346
284	0.0981968471
285	0.09763753117
286	0.09716224238
287	0.0967320466
288	0.09621497779
289	0.09579640776
290	0.09557128007
291	0.09515948306
292	0.09473215047
293	0.09441022808
294	0.09402175177
295	0.09364455519
296	0.09320594286
297	0.09284971415
298	0.09247994801
299	0.09209440409
