iter	Passed	Remaining
0	6	1893
1	11	1741
2	17	1761
3	23	1771
4	29	1756
5	36	1812
6	42	1792
7	48	1771
8	54	1766
9	60	1741
10	66	1737
11	72	1739
12	77	1715
13	83	1710
14	89	1691
15	93	1668
16	100	1674
17	106	1663
18	110	1639
19	116	1625
20	121	1608
21	126	1593
22	131	1589
23	137	1577
24	142	1566
25	147	1550
26	152	1541
27	157	1527
28	163	1529
29	168	1520
30	174	1517
31	180	1512
32	185	1498
33	189	1484
34	194	1469
35	198	1458
36	203	1447
37	207	1432
38	212	1424
39	216	1410
40	221	1398
41	225	1387
42	231	1381
43	235	1370
44	239	1358
45	244	1350
46	249	1340
47	252	1327
48	257	1317
49	262	1311
50	266	1302
51	271	1293
52	275	1286
53	281	1283
54	286	1275
55	291	1268
56	296	1266
57	302	1260
58	307	1254
59	312	1250
60	317	1245
61	323	1240
62	328	1234
63	332	1224
64	336	1216
65	341	1211
66	346	1205
67	351	1197
68	357	1195
69	362	1189
70	366	1183
71	372	1179
72	377	1175
73	382	1168
74	388	1165
75	393	1161
76	398	1155
77	404	1151
78	411	1150
79	417	1147
80	423	1146
81	429	1141
82	434	1136
83	440	1131
84	444	1124
85	449	1118
86	455	1114
87	460	1108
88	465	1103
89	471	1099
90	477	1096
91	482	1091
92	487	1085
93	492	1079
94	497	1072
95	502	1067
96	508	1063
97	513	1058
98	519	1054
99	524	1048
100	528	1042
101	534	1037
102	539	1032
103	544	1026
104	550	1022
105	556	1018
106	561	1013
107	568	1010
108	573	1005
109	580	1001
110	586	998
111	591	992
112	595	985
113	601	980
114	606	975
115	611	969
116	617	966
117	626	966
118	633	963
119	639	959
120	647	957
121	652	951
122	660	950
123	668	949
124	674	944
125	680	940
126	686	934
127	691	928
128	697	925
129	703	920
130	708	914
131	714	908
132	718	902
133	722	895
134	726	888
135	731	881
136	735	874
137	739	868
138	744	862
139	750	857
140	755	851
141	760	845
142	764	839
143	768	832
144	773	826
145	778	820
146	782	814
147	786	807
148	792	802
149	796	796
150	801	791
151	806	785
152	811	779
153	815	773
154	820	767
155	824	761
156	829	755
157	834	750
158	839	744
159	843	738
160	847	731
161	851	725
162	855	719
163	860	713
164	865	708
165	869	702
166	875	697
167	880	691
168	884	685
169	889	680
170	894	674
171	898	668
172	904	663
173	909	658
174	914	653
175	918	647
176	923	641
177	927	635
178	931	630
179	936	624
180	941	618
181	945	613
182	950	607
183	955	602
184	960	597
185	965	591
186	970	586
187	975	580
188	979	575
189	983	569
190	988	563
191	992	558
192	996	552
193	1001	547
194	1006	542
195	1011	536
196	1016	531
197	1021	526
198	1025	520
199	1030	515
200	1036	510
201	1041	505
202	1045	499
203	1050	494
204	1055	489
205	1060	483
206	1064	478
207	1069	473
208	1074	467
209	1078	462
210	1083	457
211	1088	451
212	1092	446
213	1097	440
214	1102	435
215	1106	430
216	1112	425
217	1117	420
218	1122	415
219	1126	409
220	1130	404
221	1136	399
222	1140	393
223	1144	388
224	1150	383
225	1154	377
226	1158	372
227	1163	367
228	1168	362
229	1172	356
230	1176	351
231	1181	346
232	1185	340
233	1190	335
234	1194	330
235	1199	325
236	1203	319
237	1207	314
238	1212	309
239	1217	304
240	1222	299
241	1228	294
242	1234	289
243	1239	284
244	1244	279
245	1249	274
246	1254	269
247	1259	264
248	1264	258
249	1268	253
250	1272	248
251	1277	243
252	1281	238
253	1286	232
254	1290	227
255	1295	222
256	1299	217
257	1304	212
258	1309	207
259	1314	202
260	1317	196
261	1322	191
262	1327	186
263	1331	181
264	1335	176
265	1339	171
266	1344	166
267	1348	161
268	1352	155
269	1357	150
270	1362	145
271	1366	140
272	1369	135
273	1374	130
274	1379	125
275	1383	120
276	1388	115
277	1393	110
278	1397	105
279	1401	100
280	1407	95
281	1411	90
282	1415	85
283	1420	80
284	1424	74
285	1429	69
286	1433	64
287	1438	59
288	1442	54
289	1446	49
290	1451	44
291	1456	39
292	1460	34
293	1464	29
294	1469	24
295	1473	19
296	1477	14
297	1482	9
298	1487	4
299	1491	0
